Cidade,UF,População,Possui_Plano_Municipal,População_sem_Água,População_sem_Esgoto,População_sem_coleta_de_lixo,Domicílios_sujeitos_à_inundações
Augustinópolis,TO,18870,Em elaboração,13.16,87.68,25.65,0
Fronteira,MG,18866,Sim,24.88,31.25,6.74,0
Nazaré Paulista,SP,18866,Sim,58.3,87.55,10.6,0
Pocinhos,PB,18848,Em elaboração,22.55,43.87,30.27,0
Cocos,BA,18835,Não,0.00,--,--,--
Venturosa,PE,18835,Sim,40.00,65.37,30.26,0
Areia Branca,SE,18825,Sim,20.33,0.00,49.96,3.90
Garuva,SC,18816,Sim,11.49,--,2.21,1.40
Pirapemas,MA,18814,Não,60.3,--,--,--
São José dos Quatro Marcos,MT,18788,Sim,23.4,87.71,0.00,5.00
São Gabriel,BA,18785,Não,8.67,--,--,--
Cafelândia,PR,18783,Sim,0.01,4.47,9.39,0
Cruz Machado,PR,18772,Não,62.16,96.63,60.05,35.40
São Benedito do Rio Preto,MA,18769,Não,72.55,--,36.06,--
São João do Soter,MA,18746,Em elaboração,0.00,--,61.45,0.70
Governador Edison Lobão,MA,18740,Em elaboração,3.42,--,57.31,0
Picuí,PB,18737,Sim,34.08,45.76,13.2,--
Bacuri,MA,18726,Não,81.69,--,35.92,14.70
Cariús,CE,18700,Sim,79.29,--,32.8,--
Santo Antônio do Amparo,MG,18697,Não,12.44,12.44,0.00,0.60
Neópolis,SE,18688,Sim,21.33,--,11.71,0
Mendes,RJ,18681,Sim,4.04,4.04,1.31,0.60
Rio Claro,RJ,18677,Sim,33.74,24.51,11.09,2.20
Cairu,BA,18666,Não,47.47,87.48,31.43,0
Ubaitaba,BA,18647,Não,12.47,--,--,10.00
Juquiá,SP,18627,Não,26.59,42.81,20.00,0.50
Itirapina,SP,18610,Sim,13.45,13.62,0.00,0
Mirangaba,BA,18603,Sim,67.26,86.36,35.08,2.30
Colina,SP,18601,Em elaboração,10.23,10.23,6.61,0
São Luís Gonzaga do Maranhão,MA,18600,Sim,71.43,--,--,--
Cesário Lange,SP,18595,Sim,12.47,31.13,0.00,0.30
Cafarnaum,BA,18585,Não,36.93,--,--,--
Mundo Novo,MS,18578,Em elaboração,11.29,--,10.91,0.10
Taió,SC,18576,Sim,26.51,--,28.81,39.70
Malacacheta,MG,18556,Sim,36.4,41.79,37.06,3.10
Mairi,BA,18535,Não,40.25,--,40.65,--
Varjota,CE,18520,Em elaboração,39.36,--,3.82,0
Carlos Chagas,MG,18516,Em elaboração,30.98,38.97,10.8,11.00
Pio IX,PI,18492,Não,57.15,--,--,--
Boa Vista do Tupim,BA,18491,Não,40.13,63.19,36.64,3.60
Mucajaí,RR,18482,Em elaboração,33.41,41.65,11.37,0
Cariré,CE,18470,Em elaboração,71.52,89.71,29.72,0
Batalha,AL,18440,Em elaboração,41.6,59.61,18.66,0
Lagoa do Carro,PE,18429,Não,35.1,--,0.96,--
Juazeirinho,PB,18422,Em elaboração,52.21,--,45.61,1.70
Ibipeba,BA,18421,Não,15.2,--,15.31,--
Mirante do Paranapanema,SP,18415,Sim,38.89,48.38,41.12,0
Inhapi,AL,18398,Em elaboração,62.54,--,53.77,0
Solonópole,CE,18389,Sim,2.12,--,49.15,0
Querência,MT,18386,Não,0.00,--,54.18,0
Formoso do Araguaia,TO,18358,Sim,19.54,--,25.34,--
Indiaroba,SE,18337,Sim,55.7,--,47.1,0.40
Jucurutu,RN,18335,Sim,16.19,78.59,--,0.50
Correntes,PE,18327,Sim,19.6,--,34.52,--
Campo do Brito,SE,18325,Não,14.12,--,50.04,0
Banabuiú,CE,18313,Não,18.09,--,49.45,3.60
Estrela de Alagoas,AL,18304,Não,61.54,--,76.7,0
Paraibuna,SP,18302,Sim,25.19,52.48,37.17,5.50
Maraã,AM,18298,Sim,--,--,--,--
Luz,MG,18297,Sim,14.07,0.22,10.16,0
Reriutaba,CE,18279,Não,68.69,--,--,--
Ladainha,MG,18272,Em elaboração,71.28,75.43,--,0
Sapucaia,RJ,18270,Não,24.26,35.48,0.00,2.20
Buerarema,BA,18269,Em elaboração,18.04,--,17.89,0.90
Jussara,GO,18266,Em elaboração,16.47,17.17,--,--
Matelândia,PR,18266,Em elaboração,3.22,31.29,27.77,0
Sítio Novo,MA,18237,Não,--,--,72.58,0
Tartarugalzinho,AP,18217,Em elaboração,87.18,--,34.13,50.00
Rio Maria,PA,18208,Em elaboração,--,--,38.21,--
São Caetano de Odivelas,PA,18207,Sim,76.56,58.98,47.82,0
Croatá,CE,18201,Sim,74.33,93.28,17.59,--
Messias,AL,18201,Em elaboração,34.52,--,--,--
Arroio Grande,RS,18185,Sim,12.91,96.23,2.6,1.80
Ingá,PB,18184,Em elaboração,34.76,--,13.11,7.40
Cristinápolis,SE,18181,Em elaboração,16.81,--,1.00,0
Itacarambi,MG,18175,Em elaboração,32.63,68.69,4.03,0
Lagoa Formosa,MG,18168,Em elaboração,0.00,0.00,17.44,0
Presidente Médici,RO,18165,Não,40.4,98.07,40.4,0.20
São Vicente Ferrer,PE,18150,Sim,50.00,--,9.09,14.10
Conchas,SP,18138,Não,21.56,30.04,6.83,0.20
Jaguaretama,CE,18133,Em elaboração,63.49,98.72,52.59,0
Una,BA,18108,Em elaboração,37.55,90.53,0.00,3.60
Elias Fausto,SP,18095,Não,9.73,12.59,0.00,0.10
Morro da Fumaça,SC,18095,Sim,0.00,--,0.00,11.00
São Francisco de Assis,RS,18081,Sim,29.91,94.09,40.42,0.80
Ourém,PA,18079,Não,90.26,--,54.4,8.30
Serafina Corrêa,RS,18074,Sim,15.43,--,22.54,4.80
Manga,MG,18051,Em elaboração,34.8,87.67,19.9,0
São João do Rio do Peixe,PB,18020,Sim,44.38,75.03,62.17,3.30
Abelardo Luz,SC,18015,Sim,29.66,--,44.04,0.40
Bady Bassitt,SP,18013,Sim,6.46,6.46,0.00,0
Rio Pomba,MG,18007,Sim,20.85,12.73,15.52,0.30
Regeneração,PI,17979,Não,37.15,--,44.38,0.30
Presidente Getúlio,SC,17973,Sim,15.87,--,29.23,25.20
Pouso Redondo,SC,17965,Sim,39.25,--,1.41,0.20
Gonçalves Dias,MA,17953,Em elaboração,65.88,--,55.56,0
Belterra,PA,17944,Não,32.00,--,35.77,0
Boqueirão,PB,17934,Não,33.71,29.27,23.85,0
Cafelândia,SP,17917,Em elaboração,13.13,13.13,13.13,0.80
Jacupiranga,SP,17911,Em elaboração,30.63,37.32,0.06,15.40
Pontalina,GO,17899,Em elaboração,17.26,17.26,18.83,4.10
Não-Me-Toque,RS,17886,Sim,12.36,--,0.00,0.20
Cerro Azul,PR,17884,Sim,45.69,99.1,54.32,--
Piaçabuçu,AL,17868,Não,43.44,--,16.05,27.70
São Paulo do Potengi,RN,17858,Em elaboração,5.26,82.68,--,--
Arinos,MG,17850,Em elaboração,42.59,0.00,24.25,0.30
Aporá,BA,17840,Não,36.84,--,--,--
Capistrano,CE,17830,Não,76.33,--,45.04,--
Severínia,SP,17820,Em elaboração,0.00,0.79,4.69,--
Fortuna,MA,17812,Não,51.87,--,78.67,0
Fátima,BA,17801,Em elaboração,10.43,55.06,57.87,--
Curionópolis,PA,17764,Não,31.49,--,--,--
Carnaubal,CE,17763,Em elaboração,63.06,--,52.47,--
Itariri,SP,17754,Sim,59.73,70.2,37.29,0
Cássia,MG,17741,Não,22.63,0.01,0.00,0.30
Belém,PB,17733,Não,8.92,--,--,--
Santana do Cariri,CE,17726,Não,75.00,37.94,0.59,0
Canapi,AL,17715,Não,68.96,--,67.9,6.00
Lagoa da Canoa,AL,17692,Em elaboração,39.64,--,0.00,--
Potirendaba,SP,17668,Sim,0.00,0.00,0.86,0
Piranga,MG,17641,Sim,67.88,69.96,40.01,4.90
Miracema do Tocantins,TO,17628,Em elaboração,7.01,--,13.28,0
Pedra Branca do Amapari,AP,17625,Em elaboração,96.74,--,30.00,2.30
São Miguel do Tapuio,PI,17617,Não,66.41,--,54.59,5.10
Bom Sucesso,MG,17612,Sim,0.05,17.78,0.00,0.10
Seara,SC,17610,Sim,27.65,--,23.07,--
Amarante,PI,17609,Não,41.13,--,48.8,0
Cruz do Espírito Santo,PB,17599,Não,58.03,--,54.24,17.00
Aiuaba,CE,17584,Não,40.97,--,38.01,0
Apicum-Açu,MA,17582,Não,1.29,--,--,--
Ourolândia,BA,17567,Em elaboração,53.98,80.73,40.23,2.10
Terra Roxa,PR,17562,Sim,2.12,40.64,11.63,0
Pedra Preta,MT,17547,Em elaboração,27.75,54.48,12.48,1.00
Charqueada,SP,17539,Sim,0.00,15.98,8.77,0.20
Peçanha,MG,17534,Não,49.32,42.97,48.67,6.70
Água Branca,PI,17525,Sim,2.09,57.9,10.7,0
Nova Era,MG,17524,Sim,6.00,6.00,12.03,35.90
Tanque Novo,BA,17518,Não,45.33,--,77.17,--
Anadia,AL,17507,Não,52.62,--,0.00,--
Urucuia,MG,17470,Sim,61.28,92.9,54.68,0.90
Porto Murtinho,MS,17460,Em elaboração,35.22,35.7,31.27,2.70
Bacabeira,MA,17446,Não,80.3,--,--,--
Conceição do Mato Dentro,MG,17438,Em elaboração,40.2,51.82,13.98,--
Sapeaçu,BA,17421,Não,15.77,--,39.81,0
Flores de Goiás,GO,17415,Em elaboração,77.29,--,73.73,0
Buritama,SP,17414,Em elaboração,1.55,1.55,5.78,0.70
Itaberá,SP,17405,Em elaboração,15.36,25.67,8.07,3.40
Cipó,BA,17402,Não,28.74,--,44.00,33.30
Resplendor,MG,17396,Sim,41.03,54.76,24.91,8.50
Faxinal,PR,17379,Não,0.01,56.27,19.44,0
Pindorama,SP,17378,Em elaboração,0.00,0.00,5.35,0.50
Salesópolis,SP,17363,Sim,36.71,45.45,0.00,3.90
Tapes,RS,17363,Sim,14.7,97.75,0.36,3.20
Massaranduba,SC,17330,Sim,48.17,--,0.00,7.90
Sátiro Dias,BA,17330,Não,71.05,--,38.58,--
Maruim,SE,17328,Em elaboração,27.03,--,0.33,0
Poção de Pedras,MA,17321,Em elaboração,63.32,--,58.2,1.30
Matões do Norte,MA,17316,Sim,79.23,--,66.08,--
Jataúba,PE,17305,Não,79.88,--,41.94,12.20
Terra Boa,PR,17304,Sim,0.01,23.19,6.91,0.30
São Domingos do Prata,MG,17296,Sim,44.74,39.14,21.69,0.60
Tijucas do Sul,PR,17295,Não,32.86,--,43.16,2.50
Central,BA,17293,Não,13.23,--,63.05,--
Monsenhor Tabosa,CE,17264,Sim,58.94,--,0.00,0
Macatuba,SP,17263,Sim,0.00,0.00,1.52,0
Serra Dourada,BA,17261,Sim,56.91,--,66.16,1.00
Bom Jesus do Tocantins,PA,17254,Não,46.67,--,46.67,0
Carmópolis,SE,17232,Em elaboração,0.00,--,0.00,0.10
Piquet Carneiro,CE,17210,Não,73.87,--,51.9,0
Adustina,BA,17209,Não,35.86,82.26,50.5,10.90
Guajará,AM,17193,Não,26.13,94.08,7.26,22.90
Santo Antônio do Leverger,MT,17188,Sim,32.45,--,58.69,4.60
Muniz Freire,ES,17176,Em elaboração,61.23,86.46,41.78,10.00
Cacimba de Dentro,PB,17169,Não,49.4,--,0.00,0
Corbélia,PR,17162,Em elaboração,0.01,32.74,14.32,--
Marechal Floriano,ES,17141,Sim,53.73,67.3,10.00,8.20
Itapiranga,SC,17139,Sim,0.23,57.51,50.57,8.50
Crixás,GO,17136,Sim,20.92,--,24.14,--
Xangri-lá,RS,17126,Sim,0.44,65.57,0.00,0
Jenipapo dos Vieiras,MA,17123,Em elaboração,--,--,--,--
Mata Roma,MA,17122,Sim,87.79,--,--,--
Souto Soares,BA,17118,Não,49.17,--,--,--
Condeúba,BA,17113,Não,53.39,--,--,--
Água Fria,BA,17096,Em elaboração,63.44,--,--,0
Sumé,PB,17096,Não,5.03,71.5,23.81,0
Conceição do Almeida,BA,17087,Não,41.65,--,38.13,47.60
Araputanga,MT,17078,Sim,--,--,--,--
Itaquitinga,PE,17056,Não,35.74,--,23.78,0
Terra Rica,PR,17054,Sim,1.91,54.61,12.04,0.20
Ibititá,BA,17048,Não,4.92,--,57.16,2.60
Nova Ipixuna,PA,17027,Em elaboração,74.39,--,47.24,13.10
Matupá,MT,17017,Em elaboração,22.91,--,22.91,0
Belo Campo,BA,17013,Sim,43.64,--,48.69,0.40
Santa Cecília,SC,17004,Sim,12.06,--,0.00,0
Bonito,BA,16999,Não,43.71,--,--,--
Rosário Oeste,MT,16999,Não,--,--,--,0
Realeza,PR,16976,Em elaboração,0.01,28.44,11.64,0
