Cidade;UF;População;Possui Plano Municipal;População sem Água;População sem Esgoto;População sem coleta de lixo;Domicílios sujeitos à inundações;Coluna1
Cachoeiras de Macacu;RJ;59652;Sim;0.16;;0.07;0;0
Cruz Alta;RS;59561;Sim;0.04;0.79;0.04;;47053,19
Buíque;PE;59448;Não;0.66;0.24;0.36;0;14267,52
Parobé;RS;59419;Sim;0.49;;0.06;0.12;0
Guarabira;PB;59389;Não;0;0.42;0;0.03;24943,38
Ipirá;BA;59281;Não;0.36;0.78;0.33;0.01;46239,18
Tauá;CE;59259;Sim;0.56;0.93;0.34;0.01;55110,87
Tefé;AM;59250;Não;0.19;;0.16;0.29;0
Açu;RN;58743;Sim;0.21;;0.15;0.01;0
Mongaguá;SP;58567;Sim;0.08;0.22;0;0.04;12884,74
Santa Isabel;SP;58529;Sim;0.33;0.56;0;0.06;32776,24
União da Vitória;PR;58298;Sim;0;0.66;0.05;0.22;38476,68
Monte Alegre;PA;58289;Não;0.84;;0.51;0.2;0
Içara;SC;58055;Em elaboração;0;0.79;0;0.09;45863,45
Campo Alegre;AL;57997;Não;0.11;0.2;0.29;;11599,4
Vargem Grande;MA;57813;Não;0.89;;0.46;0;0
Taquara;RS;57740;Em elaboração;0.33;;0.01;0.01;0
Coruripe;AL;57647;Em elaboração;0;0.76;0.12;0.02;43811,72
Taquaritinga;SP;57547;Sim;0.05;0.05;0.05;;2877,35
Manicoré;AM;57405;Sim;0.56;;0.41;0;0
Alenquer;PA;57390;Não;0.87;;0.4;;0
Paudalho;PE;57346;Não;0.27;;;;0
Andradina;SP;57245;Sim;0;0.07;0.07;0.01;4007,15
Humaitá;AM;57195;Não;0.02;;0.31;0.01;0
Três Pontas;MG;57127;Em elaboração;0;0;0.14;0.01;0
Capivari;SP;56973;Sim;0.06;0.11;0.03;0.01;6267,03
Porto Ferreira;SP;56848;Sim;0.02;0.02;0;0.05;1136,96
Pirapora;MG;56845;Sim;0.03;0.54;0.02;0.04;30696,3
Mafra;SC;56825;Sim;0.06;;0.22;0.05;0
Trairi;CE;56653;Não;0.86;0.97;0.38;0;54953,41
São Francisco;MG;56625;Em elaboração;0.42;0.69;0.29;0.13;39071,25
Naviraí;MS;56484;Sim;0.09;0.59;0.04;0;33325,56
Registro;SP;56463;Sim;0;0.06;0;0.02;3387,78
Canguçu;RS;56370;Não;0.63;0.63;0.63;0.01;35513,1
Artur Nogueira;SP;56247;Não;0.1;0.11;0.04;0;6187,17
Limoeiro;PE;56149;Em elaboração;0.1;;0;;0
Nova Andradina;MS;56057;Sim;0.16;0.63;0;0;35315,91
Congonhas;MG;55836;Em elaboração;0.2;0.36;0;0.04;20100,96
Rolim de Moura;RO;55748;Sim;0.18;0.98;0.19;0.02;54633,04
Acará;PA;55744;Não;0.86;;;;0
Piedade;SP;55731;Sim;0.4;0.64;0.28;0;35667,84
Ibiporã;PR;55688;Sim;0;0.02;0.05;0;1113,76
Olímpia;SP;55477;Sim;0.06;0.06;0.06;0;3328,62
São José do Rio Pardo;SP;55298;Sim;0;0.09;0.05;0.02;4976,82
Catu;BA;55222;Sim;0;;0.01;0.01;0
Granja;CE;55170;Em elaboração;0.36;0.97;0.51;0;53514,9
Eusébio;CE;55035;Sim;0.32;0.86;0;0;47330,1
Capão da Canoa;RS;55009;Sim;0.01;0.41;0;0.31;22553,69
Jaguaquara;BA;54913;Não;0.24;0.68;0.09;0.18;37340,84
Araci;BA;54903;Não;0.35;0.62;0.38;0;34039,86
São Francisco do Sul;SC;54751;Sim;0.05;0.94;0;0.01;51465,94
Acopiara;CE;54687;Em elaboração;0.68;0.93;;;50858,91
Boa Viagem;CE;54680;Em elaboração;0.28;0.61;0.45;0;33354,8
Vigia;PA;54650;Em elaboração;0.85;;0.23;;0
Canoinhas;SC;54558;Sim;0.06;0.84;0.27;0.03;45828,72
Capitão Poço;PA;54545;Não;0.8;;;0.03;0
Campo Belo;MG;54338;Sim;0.04;0.05;0;0;2716,9
Beberibe;CE;54315;Sim;0.87;0.93;0.35;0;50512,95
Vargem Grande Paulista;SP;54315;Sim;0.02;0.65;0;0;35304,75
Barra;BA;54225;Sim;;;0.54;0.02;0
Videira;SC;54145;Sim;0.09;1;0.02;0.01;54145
Ribeira do Pombal;BA;54097;Em elaboração;0.3;;0.17;0.01;0
Marechal Cândido Rondon;PR;54031;Sim;0;0.7;0.16;;37821,7
Porto Feliz;SP;53698;Sim;0;0;0;0.03;0
Santo Estêvão;BA;53666;Em elaboração;0.41;0.92;0.19;0;49372,72
Inhumas;GO;53655;Sim;0.06;0.24;0.07;0;12877,2
Porto Nacional;TO;53618;Sim;0.07;0.16;0.14;;8578,88
Tramandaí;RS;53507;Não;0.02;0.73;0;0.21;39060,11
Itapajé;CE;53448;Não;0.3;0.3;0.3;0.33;16034,4
Itupiranga;PA;53439;Não;0.88;0.99;0.53;0.02;52904,61
Rondon do Pará;PA;53242;Sim;0.27;;0.26;0;0
Lagoa da Prata;MG;53236;Sim;0.17;0.18;0.01;;9582,48
Paracambi;RJ;53093;Em elaboração;0.34;0.28;0.02;0.46;14866,04
Itabirito;MG;52996;Sim;0.02;0.15;0.02;0;7949,4
Sapé;PB;52977;Em elaboração;0.34;0.83;0;0;43970,91
Tobias Barreto;SE;52861;Em elaboração;0.15;0.3;0.03;;15858,3
Viana;MA;52852;Em elaboração;;;;;0
Marechal Deodoro;AL;52848;Em elaboração;0.1;0.88;0.09;0.02;46506,24
Prudentópolis;PR;52776;Sim;0.39;0.5;0.41;0.01;26388
São Joaquim da Barra;SP;52737;Sim;0.02;0.02;0.02;0;1054,74
Campos do Jordão;SP;52713;Sim;0.37;0.46;0;0.03;24247,98
Leopoldina;MG;52690;Em elaboração;0.25;0.01;0.01;0.01;526,9
Timbaúba;PE;52587;Não;0.02;;0.03;0;0
Paraíso do Tocantins;TO;52521;Em elaboração;0.03;0.75;0.05;0;39390,75
Palmas;PR;52503;Não;0.03;0.26;0.03;0.01;13650,78
Delmiro Gouveia;AL;52501;Em elaboração;0.01;0.92;0.08;0;48300,92
Óbidos;PA;52473;Não;0.7;;0.39;0.04;0
Rurópolis;PA;52473;Não;0.74;;0.31;0.01;0
Laranjal do Jari;AP;52302;Sim;0.71;;0;0.05;0
Xanxerê;SC;52290;Sim;0.29;;0.11;0.02;0
Guaxupé;MG;52234;Em elaboração;0.12;0.16;0;0;8357,44
Zé Doca;MA;52190;Em elaboração;0.75;;0.25;0;0
Jaraguá;GO;52160;Em elaboração;0.21;0.75;0.02;0;39120
Alta Floresta;MT;52105;Em elaboração;0.13;0.56;0.08;0.03;29178,8
Rio Grande da Serra;SP;52009;Sim;0.15;0.4;0;0;20803,6
Pontal;SP;51717;Sim;0;0;0.02;0;0
Brejo da Madre de Deus;PE;51696;Não;0.43;0.01;0.13;0;516,96
Jaru;RO;51469;Sim;0.5;;0.2;0.04;0
Bom Despacho;MG;51436;Sim;0.1;0.13;0.01;0;6686,68
Quirinópolis;GO;51323;Em elaboração;0.12;0.12;0.12;0;6158,76
Estância Velha;RS;51292;Sim;0.19;0.97;0;0.01;49753,24
Caetité;BA;51184;Sim;0.4;;0;0;0
Cabreúva;SP;51130;Sim;0.23;0.33;0;0;16872,9
Monte Alto;SP;51039;Sim;0;0;0.05;0;0
Louveira;SP;51007;Sim;0;0.12;0;0.04;6120,84
Lago da Pedra;MA;50959;Em elaboração;0.92;;0.02;0.04;0
Tucano;BA;50903;Não;0.51;0.81;0.58;0.01;41231,43
Itararé;SP;50778;Não;0.06;0.14;0.08;0.01;7108,92
Nova Venécia;ES;50751;Sim;0.36;0.76;0.01;0.03;38570,76
Cerquilho;SP;50631;Sim;0.07;0.1;0;0;5063,1
Bocaiúva;MG;50521;Sim;0.08;0.19;0.05;0;9598,99
Macaúbas;BA;50481;Em elaboração;0.04;0.72;0.56;0;36346,32
Brejo Santo;CE;50195;Em elaboração;0.33;0.55;0.27;0;27607,25
Coelho Neto;MA;49804;Não;0.89;;0.17;;0
Iranduba;AM;49718;Em elaboração;0.29;;0.3;0;0
Baião;PA;49454;Sim;0.35;;0.11;0.08;0
São Gonçalo do Amarante;CE;49306;Não;0.74;0.87;0.16;0.29;42896,22
Santiago;RS;49298;Sim;0.09;0;0.01;0;0
Jales;SP;49291;Sim;0;0;0.06;0;0
